iter	Passed	Remaining
0	235	23360
1	386	18932
2	554	17929
3	700	16823
4	860	16344
5	980	15362
6	1139	15140
7	1307	15039
8	1497	15136
9	1665	14991
10	1830	14811
11	1995	14631
12	2162	14473
13	2333	14336
14	2494	14137
15	2666	13996
16	2835	13842
17	3006	13694
18	3165	13494
19	3376	13507
20	3572	13439
21	3771	13370
22	3943	13203
23	4149	13140
24	4312	12938
25	4497	12799
26	4682	12660
27	4833	12428
28	4987	12210
29	5159	12039
30	5341	11889
31	5513	11716
32	5702	11577
33	5884	11422
34	6042	11222
35	6188	11002
36	6364	10836
37	6524	10645
38	6713	10500
39	6889	10334
40	7035	10123
41	7200	9943
42	7364	9762
43	7526	9579
44	7678	9384
45	7828	9190
46	7977	8996
47	8129	8806
48	8280	8618
49	8456	8456
50	8613	8275
51	8772	8097
52	8946	7934
53	9094	7747
54	9266	7581
55	9424	7404
56	9595	7238
57	9759	7067
58	9929	6900
59	10104	6736
60	10303	6587
61	10476	6421
62	10639	6248
63	10805	6078
64	10977	5911
65	11148	5742
66	11306	5568
67	11453	5389
68	11597	5210
69	11737	5030
70	11875	4850
71	12009	4670
72	12149	4493
73	12294	4319
74	12445	4148
75	12599	3978
76	12773	3815
77	12936	3648
78	13085	3478
79	13244	3311
80	13397	3142
81	13565	2977
82	13713	2808
83	13860	2640
84	14003	2471
85	14144	2302
86	14285	2134
87	14424	1966
88	14570	1800
89	14713	1634
90	14854	1469
91	14993	1303
92	15133	1139
93	15275	975
94	15417	811
95	15558	648
96	15700	485
97	15840	323
98	15981	161
99	16118	0
